unix,open,high,low,close,vwap,volume,tradecount,date,volume_from,Name,vwap_
1638795240,42991.6,43042.4,42973.2,43001.5,42980.3,6.04382249,47,2021-12-06 12:54:00,259893.43280373502,BTCEUR,42433.96
1638795300,43020.8,43081.7,43020.8,43072.8,43029.1,1.64567934,41,2021-12-06 12:55:00,70884.01707595201,BTCEUR,42434.68
1638795360,43072.7,43075.9,43024.8,43062.3,43053.8,1.20297608,39,2021-12-06 12:56:00,51802.916849784,BTCEUR,42435.19
1638795420,43057.7,43067.2,43021.8,43065.9,43052.4,0.51867171,28,2021-12-06 12:57:00,22337.063995689,BTCEUR,42435.41
1638795480,43070.0,43075.8,43021.8,43021.9,43046.9,0.56308491,29,2021-12-06 12:58:00,24224.982689529003,BTCEUR,42435.64
1638795540,43021.9,43021.9,42982.6,43000.0,42994.0,0.42811913,31,2021-12-06 12:59:00,18409.12259,BTCEUR,42435.8
1638795600,42982.4,43000.0,42981.3,43000.0,42994.1,0.69067387,33,2021-12-06 13:00:00,29698.97641,BTCEUR,42436.06
1638795660,42996.4,43000.0,42983.2,42983.3,42996.9,0.35416838,35,2021-12-06 13:01:00,15223.325728054002,BTCEUR,42436.19
1638795720,42983.3,43026.0,42983.2,43026.0,43002.6,0.45465097,26,2021-12-06 13:02:00,19561.812635219998,BTCEUR,42436.38
1638795780,43026.0,43059.9,43025.9,43059.5,43045.3,0.68669258,32,2021-12-06 13:03:00,29568.63914851,BTCEUR,42436.67
1638795840,43059.6,43084.0,43007.0,43007.0,43023.5,6.63888052,54,2021-12-06 13:04:00,285518.33452364,BTCEUR,42439.22
1638795900,43006.9,43073.9,42986.1,43062.9,43026.4,0.90317381,35,2021-12-06 13:05:00,38893.283462649,BTCEUR,42439.6
1638795960,43079.0,43081.7,43035.6,43068.8,43062.7,0.46855542,43,2021-12-06 13:06:00,20180.119672896002,BTCEUR,42439.79
1638796020,43098.7,43137.4,43087.5,43121.1,43101.0,1.26064634,35,2021-12-06 13:07:00,54360.456891774,BTCEUR,42440.37
1638796080,43116.1,43181.3,43116.1,43128.0,43156.6,0.78628808,25,2021-12-06 13:08:00,33911.03231424,BTCEUR,42440.74
1638796140,43127.9,43127.9,43104.1,43104.2,43113.5,0.40526237,29,2021-12-06 13:09:00,17468.510248953997,BTCEUR,42440.92
1638796200,43104.2,43144.3,43104.2,43125.1,43111.8,0.31236418,22,2021-12-06 13:10:00,13470.736498917999,BTCEUR,42441.06
1638796260,43128.1,43158.6,43128.1,43151.6,43141.7,1.35243373,15,2021-12-06 13:11:00,58359.679343468,BTCEUR,42441.71
1638796320,43128.2,43128.2,43104.1,43124.2,43107.6,4.22096365,32,2021-12-06 13:12:00,182025.68063532998,BTCEUR,42443.64
1638796380,43132.8,43157.5,43105.9,43105.9,43135.1,1.93168238,55,2021-12-06 13:13:00,83266.907504042,BTCEUR,42444.5
1638796440,43104.0,43104.0,43061.7,43083.8,43088.4,0.35360367,35,2021-12-06 13:14:00,15234.589797546,BTCEUR,42444.65
1638796500,43052.3,43058.8,43050.0,43058.8,43050.3,0.27988191,20,2021-12-06 13:15:00,12051.379186308,BTCEUR,42444.76
1638796560,43058.8,43102.8,43058.8,43095.8,43083.6,0.46680758,30,2021-12-06 13:16:00,20117.446106164003,BTCEUR,42444.97
1638796620,43088.0,43088.0,43050.0,43050.1,43057.1,0.67731673,34,2021-12-06 13:17:00,29158.552958173,BTCEUR,42445.24
1638796680,43050.1,43061.9,43050.0,43050.1,43051.4,0.23397045,30,2021-12-06 13:18:00,10072.451269545,BTCEUR,42445.34
1638796740,43050.1,43050.1,43001.4,43022.5,43037.0,1.50683456,28,2021-12-06 13:19:00,64827.7898576,BTCEUR,42445.92
1638796800,43000.2,43000.2,42951.9,42969.3,42978.4,3.23567778,45,2021-12-06 13:20:00,139034.80923215402,BTCEUR,42447.04
1638796860,42972.9,42990.0,42940.0,42977.8,42963.7,3.64477959,51,2021-12-06 13:21:00,156644.608263102,BTCEUR,42448.32
1638796920,42980.4,42995.7,42973.1,42983.9,42978.4,1.13516654,21,2021-12-06 13:22:00,48793.885038706,BTCEUR,42448.73
1638796980,42993.2,42999.7,42974.2,42977.7,42983.9,0.76906752,23,2021-12-06 13:23:00,33052.753154303995,BTCEUR,42449.0
1638797040,42960.0,42960.0,42925.0,42925.1,42934.7,0.72805206,72,2021-12-06 13:24:00,31251.707480705998,BTCEUR,42449.22
1638797100,42934.6,42954.1,42912.2,42939.7,42934.9,0.75028672,58,2021-12-06 13:25:00,32217.086670783996,BTCEUR,42449.47
1638797160,42912.1,42912.8,42894.1,42896.9,42901.2,0.65974341,37,2021-12-06 13:26:00,28300.947084429,BTCEUR,42449.66
1638797220,42896.5,42971.7,42896.5,42954.0,42935.2,2.33379243,35,2021-12-06 13:27:00,100245.72003822,BTCEUR,42450.44
1638797280,42959.4,42999.8,42956.0,42965.9,42974.2,1.27067075,22,2021-12-06 13:28:00,54595.512377425,BTCEUR,42450.87
1638797340,42969.4,42988.7,42920.3,42927.2,42963.1,0.30958598,55,2021-12-06 13:29:00,13289.659280655998,BTCEUR,42450.97
1638797400,42923.7,42923.7,42863.5,42868.9,42866.2,8.07533430,34,2021-12-06 13:30:00,346180.69857327,BTCEUR,42453.18
1638797460,42869.5,42869.5,42850.0,42854.0,42869.2,0.24073805,12,2021-12-06 13:31:00,10316.5883947,BTCEUR,42453.24
1638797520,42855.9,42858.4,42853.9,42854.1,42854.5,0.49146775,23,2021-12-06 13:32:00,21061.408105274997,BTCEUR,42453.37
1638797580,42854.0,42864.1,42823.3,42861.6,42848.1,2.38266040,50,2021-12-06 13:33:00,102124.63700063998,BTCEUR,42454.0
1638797640,42843.1,42857.4,42831.3,42852.3,42850.7,0.27389330,70,2021-12-06 13:34:00,11736.95785959,BTCEUR,42454.08
1638797700,42852.3,42910.3,42850.2,42894.0,42878.5,0.21912052,17,2021-12-06 13:35:00,9398.955584880001,BTCEUR,42454.14
1638797760,42893.9,42894.0,42812.5,42812.9,42863.2,0.25632615,18,2021-12-06 13:36:00,10974.065827335,BTCEUR,42454.2
1638797820,42822.3,42849.7,42813.6,42830.8,42814.8,2.33480291,18,2021-12-06 13:37:00,100001.476477628,BTCEUR,42454.77
1638797880,42826.6,42873.7,42826.6,42871.2,42862.0,1.42368077,43,2021-12-06 13:38:00,61034.903026823995,BTCEUR,42455.16
1638797940,42872.7,42879.4,42847.7,42870.2,42867.8,0.24906530,61,2021-12-06 13:39:00,10677.479224059998,BTCEUR,42455.22
1638798000,42870.0,42894.0,42868.9,42894.0,42872.6,0.84281978,22,2021-12-06 13:40:00,36151.91164332,BTCEUR,42455.47
1638798060,42894.0,42900.5,42875.3,42890.3,42893.0,1.17979276,16,2021-12-06 13:41:00,50601.665414228,BTCEUR,42455.8
1638798120,42884.7,42884.8,42875.0,42879.2,42878.7,0.39256388,22,2021-12-06 13:42:00,16832.825123296,BTCEUR,42455.91
1638798180,42880.2,42886.8,42875.0,42875.0,42877.7,0.44167623,14,2021-12-06 13:43:00,18936.86836125,BTCEUR,42456.03
1638798240,42870.0,42870.1,42847.6,42847.7,42851.5,0.53063018,68,2021-12-06 13:44:00,22736.282763585998,BTCEUR,42456.16
1638798300,42847.7,42847.7,42820.0,42826.9,42828.8,0.31204561,66,2021-12-06 13:45:00,13363.946134909,BTCEUR,42456.24
1638798360,42826.8,42826.8,42726.7,42726.8,42787.4,1.24739371,50,2021-12-06 13:46:00,53297.14156842801,BTCEUR,42456.46
1638798420,42726.7,42726.7,42676.7,42676.8,42697.5,1.43307068,44,2021-12-06 13:47:00,61158.870796224,BTCEUR,42456.66
1638798480,42676.7,42676.7,42592.7,42638.4,42650.1,4.81908084,48,2021-12-06 13:48:00,205477.896488256,BTCEUR,42457.22
